title,genre,stage_director,country,year
А был ли Каротин?,детективный фильм,Геннадий Полока,СССР,1989
Абрикосовые рощи,,Пуриа Хейдари Урех,Армения,2016
"Абраксас, хранитель Вселенной",боевик,Дэмьен Ли,США,1991
"Аборт: Истории, рассказанные женщинами",документальный фильм,Трейси Дроз Трагос,,2016
Абориген,Драма,Елена Николаева,СССР,1988
Абитуриентка,Драма,Алексей Мишурин,СССР,1973
Абель,комедия,Алекс ван Вармердам,Нидерланды,1986
"Абдулладжан, или Посвящается Стивену Спилбергу",фантастический фильм,Зульфикар Мусаков,СССР,1991
Аббатство Даунтон: Новая эра,историческая драма,Саймон Кёртис,Великобритания,2022
Аббатство Даунтон,драма,Майкл Энглер,Великобритания,2019
Аббат Шаолиня,боевик,Хэ Мэнхуа,Гонконг,1979
Абатуар. Лабиринт страха,фильм ужасов,Даррен Линн Боусман,США,2016
Аафат,[d],Атма Рам,Индия,1977
«А чой-то ты во фраке?»,комедия,Иосиф Райхельгауз,Россия,1993
А у нас была тишина...,военная драма,Владимир Шамшурин,СССР,1977
А у вас который час?,драма,Цай Минлян,Китайская Республика,2001
"А теперь, дамы и господа",криминальный фильм,Клод Лелуш,Франция,2002
Монти Пайтон: а теперь нечто совсем другое,комедия,Иан Макнафтон,Великобритания,1971
А теперь не смотри,мистический триллер,Николас Роуг,Великобритания,1973
А счастье рядом,мелодрама,Маргарита Касымова,СССР,1978
А поутру они проснулись,комедия,Сергей Никоненко,Россия,2003
А потом мы танцевали,драма,Леван Акин,Грузия,2019
А пароходы гудят и уходят…,,Рубен Мурадян,СССР,1972
"А ну-ка, дедушки!",,Нинель Ненова-Цулая,СССР,1981
А кто я на этот раз?,,Джонатан Демми,США,1983
А как же Боб?,комедия,Фрэнк Оз,США,1991
А зори здесь тихие…,драма,Ренат Давлетьяров,Россия,2015
…А зори здесь тихие,драма,Станислав Ростоцкий,СССР,1972
А защищал её Плевако,драма,Николай Козловский,Российская империя,1916
А завтра весь мир,драма,Юлия фон Хайнц,,2020
А если это любовь?,драма,Юлий Райзман,СССР,1961
А вы любили когда-нибудь?,музыкальная комедия,Игорь Усов,СССР,1973
А вот и Хаггетты,комедия,Кен Эннакин,Великобритания,1948
А вот и Полли,комедия,Джон Гамбург,США,2004
А вот и Лола,Романтическая комедия,Эллен Сидлер,США,2009
А вот и гости!,комедия,Дэвид Йейтс,Великобритания,2003
А в душе я танцую,драма,Дэмиен О'Доннелл,Великобритания,2004
«Аврора»,драма,Оксана Байрак,Украина,2006
Авраам: Хранитель веры,драма,Джозеф Сарджент,США,1994
Авиценна,Биографический фильм,Камиль Ярматов,СССР,1956
"Авива, любовь моя",драматический фильм,Шеми Зархин,Израиль,2006
Авиатор,фильм-биография,Мартин Скорсезе,США,2004
Авиапочта,мелодрама,Ирвин Виллат,США,1925
"Авель, твой брат",психологическая,Януш Насфетер,Польша,1970
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994
Аве Мария,драма,Людмила Ефименко,Украина,1999
Авдотья Павловна,киноповесть,Александр Муратов,СССР,1966
Августовские киты,драма,Линдсей Андерсон,США,1987
Август. Восьмого,военный,Джаник Файзиев,Россия,2012
Августовская рапсодия,драма,Акира Куросава,Япония,1991
Август Раш,драма,Кирстен Шеридан,США,2007
Август: Графство Осейдж,драма,Джон Уэллс,США,2013
